iteration,clock_source,vreg,divider,range,freqa,freqb,clock_freq
0,rosc,10,01,fa4,0007,7777,105836
0,rosc,10,01,fa4,0077,0007,92417
0,rosc,10,01,fa4,0077,0077,100032
0,rosc,10,01,fa4,0077,0777,110113
0,rosc,10,01,fa4,0077,7777,117762
0,rosc,10,01,fa4,0777,0007,98595
0,rosc,10,01,fa4,0777,0077,107334
0,rosc,10,01,fa4,0777,0777,118970
0,rosc,10,01,fa4,0777,7777,127878
0,rosc,10,01,fa4,7777,0007,108369
0,rosc,10,01,fa4,7777,0077,118971
0,rosc,10,01,fa4,7777,0777,133523
0,rosc,10,01,fa4,7777,7777,144988
0,rosc,10,01,fa5,0007,0007,108221
0,rosc,10,01,fa5,0007,0077,120123
0,rosc,10,01,fa5,0007,0777,119820
0,rosc,10,01,fa5,0007,7777,119866
0,rosc,10,01,fa5,0077,0007,120791
0,rosc,10,01,fa5,0077,0077,135858
0,rosc,10,01,fa5,0077,0777,135462
0,rosc,10,01,fa5,0077,7777,135480
0,rosc,10,01,fa5,0777,0007,131533
0,rosc,10,01,fa5,0777,0077,149607
0,rosc,10,01,fa5,0777,0777,149118
0,rosc,10,01,fa5,0777,7777,149104
0,rosc,10,01,fa5,7777,0007,149448
0,rosc,10,01,fa5,7777,0077,173193
0,rosc,10,01,fa5,7777,0777,172562
0,rosc,10,01,fa5,7777,7777,172493
0,rosc,10,01,fa7,0007,0007,138344
0,rosc,10,01,fa7,0007,0077,138550
0,rosc,10,01,fa7,0007,0777,138944
0,rosc,10,01,fa7,0007,7777,138953
0,rosc,10,01,fa7,0077,0007,159809
0,rosc,10,01,fa7,0077,0077,160100
0,rosc,10,01,fa7,0077,0777,160467
0,rosc,10,01,fa7,0077,7777,160484
0,rosc,10,01,fa7,0777,0007,179282
0,rosc,10,01,fa7,0777,0077,179693
0,rosc,10,01,fa7,0777,0777,180137
0,rosc,10,01,fa7,0777,7777,180206
0,rosc,10,01,fa7,7777,0007,219864
0,rosc,10,01,fa7,7777,0077,219869
0,rosc,10,01,fa7,7777,0777,219947
0,rosc,10,01,fa7,7777,7777,219797
0,rosc,10,01,fa6,0007,0007,223162
0,rosc,10,01,fa6,0007,0077,222780
0,rosc,10,01,fa6,0007,0777,222028
0,rosc,10,01,fa6,0007,7777,221690
0,rosc,10,01,fa6,0077,0007,296556
0,rosc,10,01,fa6,0077,0077,296833
0,rosc,10,01,fa6,0077,0777,296172
0,rosc,10,01,fa6,0077,7777,296126
0,rosc,10,01,fa6,0777,0007,294792
0,rosc,10,01,fa6,0777,0077,294114
0,rosc,10,01,fa6,0777,0777,293702
0,rosc,10,01,fa6,0777,7777,293703
0,rosc,10,01,fa6,7777,0007,293831
0,rosc,10,01,fa6,7777,0077,293600
0,rosc,10,01,fa6,7777,0777,292609
0,rosc,10,01,fa6,7777,7777,292066
0,rosc,10,06,fa4,0007,0007,14150
0,rosc,10,06,fa4,0007,0077,15215
0,rosc,10,06,fa4,0007,0777,16603
0,rosc,10,06,fa4,0007,7777,17658
0,rosc,10,06,fa4,0077,0007,15406
0,rosc,10,06,fa4,0077,0077,16676
0,rosc,10,06,fa4,0077,0777,18358
0,rosc,10,06,fa4,0077,7777,19636
0,rosc,10,06,fa4,0777,0007,16425
0,rosc,10,06,fa4,0777,0077,17884
0,rosc,10,06,fa4,0777,0777,19826
0,rosc,10,06,fa4,0777,7777,21330
0,rosc,10,06,fa4,7777,0007,18055
0,rosc,10,06,fa4,7777,0077,19835
0,rosc,10,06,fa4,7777,0777,22253
0,rosc,10,06,fa4,7777,7777,24161
0,rosc,10,06,fa5,0007,0007,18031
0,rosc,10,06,fa5,0007,0077,20023
0,rosc,10,06,fa5,0007,0777,19969
0,rosc,10,06,fa5,0007,7777,19989
0,rosc,10,06,fa5,0077,0007,20142
0,rosc,10,06,fa5,0077,0077,22646
0,rosc,10,06,fa5,0077,0777,22568
0,rosc,10,06,fa5,0077,7777,22557
0,rosc,10,06,fa5,0777,0007,21917
0,rosc,10,06,fa5,0777,0077,24939
0,rosc,10,06,fa5,0777,0777,24848
0,rosc,10,06,fa5,0777,7777,24853
0,rosc,10,06,fa5,7777,0007,24907
0,rosc,10,06,fa5,7777,0077,28862
0,rosc,10,06,fa5,7777,0777,28763
0,rosc,10,06,fa5,7777,7777,28748
0,rosc,10,06,fa7,0007,0007,23049
0,rosc,10,06,fa7,0007,0077,23089
0,rosc,10,06,fa7,0007,0777,23123
0,rosc,10,06,fa7,0007,7777,23150
0,rosc,10,06,fa7,0077,0007,26622
0,rosc,10,06,fa7,0077,0077,26688
0,rosc,10,06,fa7,0077,0777,26762
0,rosc,10,06,fa7,0077,7777,26760
0,rosc,10,06,fa7,0777,0007,29864
0,rosc,10,06,fa7,0777,0077,29948
0,rosc,10,06,fa7,0777,0777,30007
0,rosc,10,06,fa7,0777,7777,30011
0,rosc,10,06,fa7,7777,0007,36623
0,rosc,10,06,fa7,7777,0077,36639
0,rosc,10,06,fa7,7777,0777,36645
0,rosc,10,06,fa7,7777,7777,36654
0,rosc,10,06,fa6,0007,0007,37179
0,rosc,10,06,fa6,0007,0077,37103
0,rosc,10,06,fa6,0007,0777,37005
0,rosc,10,06,fa6,0007,7777,36959
0,rosc,10,06,fa6,0077,0007,49408
0,rosc,10,06,fa6,0077,0077,49421
0,rosc,10,06,fa6,0077,0777,49317
0,rosc,10,06,fa6,0077,7777,49325
0,rosc,10,06,fa6,0777,0007,49119
0,rosc,10,06,fa6,0777,0077,48942
0,rosc,10,06,fa6,0777,0777,48957
0,rosc,10,06,fa6,0777,7777,48928
0,rosc,10,06,fa6,7777,0007,48950
0,rosc,10,06,fa6,7777,0077,48944
0,rosc,10,06,fa6,7777,0777,48766
0,rosc,10,06,fa6,7777,7777,48659
0,rosc,10,11,fa4,0007,0007,7717
0,rosc,10,11,fa4,0007,0077,8301
0,rosc,10,11,fa4,0007,0777,9058
0,rosc,10,11,fa4,0007,7777,9623
0,rosc,10,11,fa4,0077,0007,8407
0,rosc,10,11,fa4,0077,0077,9094
