clock_source,vco_freq,div1,div2,clock_freq
pll,0870,1,7,123429
pll,0870,2,3,144000
pll,0870,2,4,108000
pll,0870,2,5,86400
pll,0870,2,6,72000
pll,0870,2,7,61715
pll,0870,3,2,144000
pll,0870,3,3,96000
pll,0870,3,4,72000
pll,0870,3,5,57600
pll,0870,3,6,48000
pll,0870,3,7,41143
pll,0870,4,2,108000
pll,0870,4,3,72000
pll,0870,4,4,54000
pll,0870,4,5,43201
pll,0870,4,6,36000
pll,0870,4,7,30857
pll,0870,5,2,86400
pll,0870,5,3,57600
pll,0870,5,4,43200
pll,0870,5,5,34560
pll,0870,5,6,28800
pll,0870,5,7,24685
pll,0870,6,1,144000
pll,0870,6,2,72000
pll,0870,6,3,48000
pll,0870,6,4,36000
pll,0870,6,5,28800
pll,0870,6,6,24000
pll,0870,6,7,20571
pll,0870,7,1,123429
pll,0870,7,2,61714
pll,0870,7,3,41143
pll,0870,7,4,30857
pll,0870,7,5,24686
pll,0870,7,6,20571
pll,0870,7,7,17633
pll,0880,1,6,146000
pll,0880,1,7,62571
pll,0880,2,3,146000
pll,0880,2,4,109500
pll,0880,2,5,87600
pll,0880,2,6,73000
pll,0880,2,7,62571
pll,0880,3,2,146000
pll,0880,3,3,97334
pll,0880,3,4,73000
pll,0880,3,5,58401
pll,0880,3,6,48667
pll,0880,3,7,41714
pll,0880,4,2,109501
pll,0880,4,3,73000
pll,0880,4,4,54750
pll,0880,4,5,43800
pll,0880,4,6,36500
pll,0880,4,7,31285
pll,0880,5,2,87600
pll,0880,5,3,58400
pll,0880,5,4,43800
pll,0880,5,5,35040
pll,0880,5,6,29200
pll,0880,5,7,25029
pll,0880,6,1,146000
pll,0880,6,2,73000
pll,0880,6,3,48667
pll,0880,6,4,36500
pll,0880,6,5,29200
pll,0880,6,6,24334
pll,0880,6,7,20858
pll,0880,7,1,125143
pll,0880,7,2,62571
pll,0880,7,3,41714
pll,0880,7,4,31286
pll,0880,7,5,25028
pll,0880,7,6,20857
pll,0880,7,7,17877
pll,0890,1,6,148001
pll,0890,1,7,63428
pll,0890,2,3,148000
pll,0890,2,4,111000
pll,0890,2,5,88800
pll,0890,2,6,74000
pll,0890,2,7,63429
pll,0890,3,2,148000
pll,0890,3,3,98667
pll,0890,3,4,74000
pll,0890,3,5,59200
pll,0890,3,6,49334
pll,0890,3,7,42286
pll,0890,4,2,111000
pll,0890,4,3,74001
pll,0890,4,4,55500
pll,0890,4,5,44400
pll,0890,4,6,37000
pll,0890,4,7,31714
pll,0890,5,2,88800
pll,0890,5,3,59200
pll,0890,5,4,44400
pll,0890,5,5,35520
pll,0890,5,6,29600
pll,0890,5,7,25371
pll,0890,6,1,148000
pll,0890,6,2,74000
pll,0890,6,3,49333
pll,0890,6,4,37001
pll,0890,6,5,29600
pll,0890,6,6,24667
pll,0890,6,7,21143
pll,0890,7,1,126857
pll,0890,7,2,63429
pll,0890,7,3,42286
pll,0890,7,4,31714
pll,0890,7,5,25372
pll,0890,7,6,21143
pll,0890,7,7,18122
pll,0900,1,6,75000
pll,0900,1,7,64285
pll,0900,2,3,150000
pll,0900,2,4,112500
pll,0900,2,5,90001
pll,0900,2,6,75001
pll,0900,2,7,64286
pll,0900,3,2,150000
pll,0900,3,3,100000
pll,0900,3,4,75000
pll,0900,3,5,60000
pll,0900,3,6,50001
pll,0900,3,7,42857
pll,0900,4,2,112500
pll,0900,4,3,75000
pll,0900,4,4,56250
pll,0900,4,5,45000
pll,0900,4,6,37500
pll,0900,4,7,32142
pll,0900,5,2,90000
pll,0900,5,3,60000
pll,0900,5,4,45000
pll,0900,5,5,36000
pll,0900,5,6,30000
pll,0900,5,7,25714
pll,0900,6,1,150000
pll,0900,6,2,75000
pll,0900,6,3,50000
pll,0900,6,4,37500
pll,0900,6,5,30000
pll,0900,6,6,25000
pll,0900,6,7,21429
pll,0900,7,1,128571
pll,0900,7,2,64286
pll,0900,7,3,42858
pll,0900,7,4,32143
pll,0900,7,5,25714
pll,0900,7,6,21429
pll,0900,7,7,18368
pll,0910,1,7,128571
pll,0910,2,4,112500
pll,0910,2,5,90000
pll,0910,2,6,75000
pll,0910,2,7,64286
pll,0910,3,3,100000
pll,0910,3,4,75000
pll,0910,3,5,60000
pll,0910,3,6,50000
pll,0910,3,7,42857
pll,0910,4,2,112500
pll,0910,4,3,75000
pll,0910,4,4,56250
pll,0910,4,5,45000
pll,0910,4,6,37500
pll,0910,4,7,32143
pll,0910,5,2,90000
pll,0910,5,3,60000
pll,0910,5,4,45000
pll,0910,5,5,36000
pll,0910,5,6,30000
pll,0910,5,7,25714
pll,0910,6,2,75000
pll,0910,6,3,50000
pll,0910,6,4,37500
pll,0910,6,5,30000
pll,0910,6,6,25000
pll,0910,6,7,21429
pll,0910,7,1,128572
pll,0910,7,2,64286
pll,0910,7,3,42857
