vreg,divider,range,freqa,freqb,clock_freq
11,01,fa5,0037,0003,136992
11,01,fa5,0037,0005,137240
11,01,fa5,0037,0007,138019
11,01,fa5,0037,0017,148859
11,01,fa5,0037,0037,152621
11,01,fa5,0037,0057,152351
11,01,fa5,0037,0077,154518
11,01,fa5,0037,0177,154367
11,01,fa5,0037,0377,154266
11,01,fa5,0037,0577,154193
11,01,fa5,0037,0777,154046
11,01,fa5,0037,1777,154117
11,01,fa5,0037,3777,153985
11,01,fa5,0037,5777,154008
11,01,fa5,0037,7777,154043
11,01,fa5,0057,0001,135118
11,01,fa5,0057,0003,137136
11,01,fa5,0057,0005,137328
11,01,fa5,0057,0007,138151
11,01,fa5,0057,0017,148921
11,01,fa5,0057,0037,152749
11,01,fa5,0057,0057,152520
11,01,fa5,0057,0077,154653
11,01,fa5,0057,0177,154446
11,01,fa5,0057,0377,154399
11,01,fa5,0057,0577,154333
11,01,fa5,0057,0777,154145
11,01,fa5,0057,1777,154340
11,01,fa5,0057,3777,154148
11,01,fa5,0057,5777,154157
11,01,fa5,0057,7777,154145
11,01,fa5,0077,0001,136686
11,01,fa5,0077,0003,138702
11,01,fa5,0077,0005,138937
11,01,fa5,0077,0007,139737
11,01,fa5,0077,0017,150847
11,01,fa5,0077,0037,154639
11,01,fa5,0077,0057,154345
11,01,fa5,0077,0077,156601
11,01,fa5,0077,0177,156487
11,01,fa5,0077,0377,156347
11,01,fa5,0077,0577,156319
11,01,fa5,0077,0777,156241
11,01,fa5,0077,1777,156263
11,01,fa5,0077,3777,156263
11,01,fa5,0077,5777,156260
11,01,fa5,0077,7777,156256
11,01,fa5,0177,0001,144134
11,01,fa5,0177,0003,146381
11,01,fa5,0177,0005,146623
11,01,fa5,0177,0007,147549
11,01,fa5,0177,0017,160006
11,01,fa5,0177,0037,164333
11,01,fa5,0177,0057,164032
11,01,fa5,0177,0077,166511
11,01,fa5,0177,0177,166379
11,01,fa5,0177,0377,166217
11,01,fa5,0177,0577,166177
11,01,fa5,0177,0777,166038
11,01,fa5,0177,1777,165972
11,01,fa5,0177,3777,166015
11,01,fa5,0177,5777,165998
11,01,fa5,0177,7777,165996
11,01,fa5,0377,0001,146792
11,01,fa5,0377,0003,149126
11,01,fa5,0377,0005,149423
11,01,fa5,0377,0007,150351
11,01,fa5,0377,0017,163299
11,01,fa5,0377,0037,167807
11,01,fa5,0377,0057,167552
11,01,fa5,0377,0077,170081
11,01,fa5,0377,0177,169881
11,01,fa5,0377,0377,169726
11,01,fa5,0377,0577,169682
11,01,fa5,0377,0777,169576
11,01,fa5,0377,1777,169593
11,01,fa5,0377,3777,169599
11,01,fa5,0377,5777,169497
11,01,fa5,0377,7777,169545
11,01,fa5,0577,0001,147183
11,01,fa5,0577,0003,149558
11,01,fa5,0577,0005,149787
11,01,fa5,0577,0007,150787
11,01,fa5,0577,0017,163769
11,01,fa5,0577,0037,168292
11,01,fa5,0577,0057,168048
11,01,fa5,0577,0077,170589
11,01,fa5,0577,0177,170355
11,01,fa5,0577,0377,170292
11,01,fa5,0577,0577,170250
11,01,fa5,0577,0777,170011
11,01,fa5,0577,1777,170071
11,01,fa5,0577,3777,170081
11,01,fa5,0577,5777,170079
11,01,fa5,0577,7777,170084
11,01,fa5,0777,0001,148442
11,01,fa5,0777,0003,150857
11,01,fa5,0777,0005,151125
11,01,fa5,0777,0007,152043
11,01,fa5,0777,0017,165376
11,01,fa5,0777,0037,170078
11,01,fa5,0777,0057,169734
11,01,fa5,0777,0077,172427
11,01,fa5,0777,0177,172248
11,01,fa5,0777,0377,172069
11,01,fa5,0777,0577,172049
11,01,fa5,0777,0777,171891
11,01,fa5,0777,1777,171914
11,01,fa5,0777,3777,171897
11,01,fa5,0777,5777,171854
11,01,fa5,0777,7777,171855
11,01,fa5,1777,0001,159741
11,01,fa5,1777,0003,162933
11,01,fa5,1777,0005,163016
11,01,fa5,1777,0007,164610
11,01,fa5,1777,0017,180149
11,01,fa5,1777,0037,185747
11,01,fa5,1777,0057,185343
11,01,fa5,1777,0077,188535
11,01,fa5,1777,0177,188314
11,01,fa5,1777,0377,188172
11,01,fa5,1777,0577,188144
11,01,fa5,1777,0777,187897
11,01,fa5,1777,1777,187910
11,01,fa5,1777,3777,187874
11,01,fa5,1777,5777,187921
